District ID,County Name,Operating Cost Per Student,District Number,School Year,Student Count,State Student Count,Operating Cost,State Operating Cost,State Operating Cost Per Student
2112,MALHEUR,0.00,Malheur County SD 51,07/01/2009,0,556836,9881.00,5162739221.05,9271.56
2112,MALHEUR,0.00,Malheur County SD 51,07/01/2004,0,549793,10138.62,4198534676.94,7636.57
2112,MALHEUR,0.00,Malheur County SD 51,07/01/2007,0,561354,10715.50,5144636555.37,9164.69
2112,MALHEUR,0.00,Malheur County SD 51,07/01/2005,0,555146,12238.13,4513950428.60,8131.11
2112,MALHEUR,0.00,Malheur County SD 51,07/01/2008,0,559271,14473.00,5248233458.10,9384.06
2112,MALHEUR,0.00,Malheur County SD 51,07/01/2002,0,552161,15021.96,3889552066.13,7044.24
2112,MALHEUR,0.00,Malheur County SD 51,07/01/1999,0,543138,15134.00,3556941887.40,6548.87
2112,MALHEUR,0.00,Malheur County SD 51,07/01/2000,0,544245,18056.00,3796207419.43,6975.18
2112,MALHEUR,0.00,Malheur County SD 51,07/01/2003,0,549169,28592.00,3970643658.44,7230.28
2112,MALHEUR,0.00,Malheur County SD 51,07/01/2001,0,549757,40367.00,3966871635.47,7215.68
2112,MALHEUR,0.00,Malheur County SD 51,07/01/2006,0,558366,79985.00,4768933786.70,8540.87
2016,HARNEY,0.00,Pine Creek SD 5,07/01/2008,0,559271,85465.69,5248233458.10,9384.06
2021,HARNEY,23115.00,Double O SD 28,07/01/1999,4,543138,92460.00,3556941887.40,6548.87
2016,HARNEY,0.00,Pine Creek SD 5,07/01/2009,0,556836,95645.38,5162739221.05,9271.56
2017,HARNEY,19869.65,Diamond SD 7,07/01/2000,5,544245,99348.24,3796207419.43,6975.18
2017,HARNEY,21838.80,Diamond SD 7,07/01/2001,5,549757,109193.98,3966871635.47,7215.68
2021,HARNEY,27522.21,Double O SD 28,07/01/2000,4,544245,110088.83,3796207419.43,6975.18
2062,LAKE,8404.34,PLUSH SCH DIST 18,07/01/2002,14,552161,117660.82,3889552066.13,7044.24
2222,WALLOWA,13231.73,TROY SCH DIST 54,07/01/1999,9,543138,119085.55,3556941887.40,6548.87
2021,HARNEY,120444.65,Double O SD 28,07/01/2005,1,555146,120444.65,4513950428.60,8131.11
2021,HARNEY,30264.68,Double O SD 28,07/01/2001,4,549757,121058.73,3966871635.47,7215.68
2062,LAKE,10172.24,PLUSH SCH DIST 18,07/01/2000,12,544245,122066.85,3796207419.43,6975.18
2021,HARNEY,40751.10,Double O SD 28,07/01/2008,3,559271,122253.29,5248233458.10,9384.06
2021,HARNEY,61425.21,Double O SD 28,07/01/2006,2,558366,122850.41,4768933786.70,8540.87
2021,HARNEY,62407.58,Double O SD 28,07/01/2009,2,556836,124815.16,5162739221.05,9271.56
2017,HARNEY,17843.70,Diamond SD 7,07/01/1999,7,543138,124905.88,3556941887.40,6548.87
2021,HARNEY,125242.63,Double O SD 28,07/01/2007,1,561354,125242.63,5144636555.37,9164.69
2051,JEFFERSON,15793.13,ASHWOOD SCH DIST 8,07/01/2000,8,544245,126345.00,3796207419.43,6975.18
4131,WASCO,0.00,North Wasco SD 21,07/01/2003,0,549169,126764.24,3970643658.44,7230.28
2021,HARNEY,31900.96,Double O SD 28,07/01/2003,4,549169,127603.85,3970643658.44,7230.28
2016,HARNEY,10736.58,PINE CREEK SCH DIST 5,07/01/1999,12,543138,128839.00,3556941887.40,6548.87
2051,JEFFERSON,21749.17,ASHWOOD SCH DIST 8,07/01/2001,6,549757,130495.00,3966871635.47,7215.68
2017,HARNEY,21791.86,Diamond SD 7,07/01/2002,6,552161,130751.17,3889552066.13,7044.24
2018,HARNEY,10249.92,SUNTEX SCH DIST 10,07/01/1999,13,543138,133248.93,3556941887.40,6548.87
2062,LAKE,13391.30,PLUSH SCH DIST 18,07/01/2003,10,549169,133913.00,3970643658.44,7230.28
2017,HARNEY,20218.14,Diamond SD 7,07/01/2003,7,549169,141526.97,3970643658.44,7230.28
2051,JEFFERSON,17724.75,ASHWOOD SCH DIST 8,07/01/1999,8,543138,141798.00,3556941887.40,6548.87
2062,LAKE,12995.64,PLUSH SCH DIST 18,07/01/2004,11,549793,142952.00,4198534676.94,7636.57
2019,HARNEY,12190.01,DREWSEY SCH DIST 013,07/01/1999,12,543138,146280.10,3556941887.40,6548.87
2062,LAKE,14631.96,PLUSH SCH DIST 18,07/01/2001,10,549757,146319.64,3966871635.47,7215.68
2109,MALHEUR,29503.20,JUNTURA SCH DIST 12,07/01/1999,5,543138,147516.00,3556941887.40,6548.87
2051,JEFFERSON,73827.23,Ashwood SD 8,07/01/2007,2,561354,147654.46,5144636555.37,9164.69
2051,JEFFERSON,36930.50,Ashwood SD 8,07/01/2002,4,552161,147722.00,3889552066.13,7044.24
2021,HARNEY,29826.82,Double O SD 28,07/01/2004,5,549793,149134.09,4198534676.94,7636.57
2222,WALLOWA,30091.43,TROY SCH DIST 54,07/01/2000,5,544245,150457.13,3796207419.43,6975.18
2062,LAKE,13750.55,PLUSH SCH DIST 18,07/01/2005,11,555146,151256.00,4513950428.60,8131.11
2021,HARNEY,25896.27,Double O SD 28,07/01/2002,6,552161,155377.62,3889552066.13,7044.24
2222,WALLOWA,31268.98,Troy SD 54,07/01/2001,5,549757,156344.90,3966871635.47,7215.68
2222,WALLOWA,26280.95,Troy SD 54,07/01/2005,6,555146,157685.69,4513950428.60,8131.11
2020,HARNEY,10625.36,Frenchglen SD 16,07/01/1999,15,543138,159380.43,3556941887.40,6548.87
2052,JEFFERSON,11442.00,BLACK BUTTE SCH DIST 41,07/01/2005,14,555146,160188.00,4513950428.60,8131.11
2017,HARNEY,22956.17,Diamond SD 7,07/01/2004,7,549793,160693.20,4198534676.94,7636.57
2016,HARNEY,14725.36,PINE CREEK SCH DIST 5,07/01/2000,11,544245,161979.00,3796207419.43,6975.18
1979,DESCHUTES,0.00,BROTHERS SCH DIST 15,07/01/2005,0,555146,162657.73,4513950428.60,8131.11
2222,WALLOWA,27152.61,Troy SD 54,07/01/2002,6,552161,162915.66,3889552066.13,7044.24
2051,JEFFERSON,20865.50,Ashwood SD 8,07/01/2003,8,549169,166924.00,3970643658.44,7230.28
2052,JEFFERSON,9297.87,BLACK BUTTE SCH DIST 41,07/01/2002,18,552161,167361.60,3889552066.13,7044.24
2222,WALLOWA,23911.46,Troy SD 54,07/01/2009,7,556836,167380.21,5162739221.05,9271.56
2051,JEFFERSON,84994.03,Ashwood SD 8,07/01/2009,2,556836,169988.06,5162739221.05,9271.56
2018,HARNEY,13087.55,SUNTEX SCH DIST 10,07/01/2000,13,544245,170138.12,3796207419.43,6975.18
2051,JEFFERSON,170210.60,Ashwood SD 8,07/01/2008,1,559271,170210.60,5248233458.10,9384.06
1979,DESCHUTES,57454.33,BROTHERS SCH DIST 15,07/01/2004,3,549793,172363.00,4198534676.94,7636.57
2018,HARNEY,15688.19,Suntex SD 10,07/01/2001,11,549757,172570.12,3966871635.47,7215.68
2062,LAKE,34601.20,Plush SD 18,07/01/2007,5,561354,173006.00,5144636555.37,9164.69
2109,MALHEUR,34879.00,JUNTURA SCH DIST 12,07/01/2000,5,544245,174395.00,3796207419.43,6975.18
2051,JEFFERSON,29214.32,Ashwood SD 8,07/01/2005,6,555146,175285.92,4513950428.60,8131.11
2222,WALLOWA,89301.92,Troy SD 54,07/01/2006,2,558366,178603.83,4768933786.70,8540.87
2022,HARNEY,9959.43,South Harney SD 33,07/01/1999,18,543138,179269.70,3556941887.40,6548.87
2052,JEFFERSON,11952.49,BLACK BUTTE SCH DIST 41,07/01/2004,15,549793,179287.40,4198534676.94,7636.57
2062,LAKE,11314.69,PLUSH SCH DIST 18,07/01/1999,16,543138,181035.00,3556941887.40,6548.87
2062,LAKE,20132.45,Plush SD 18,07/01/2006,9,558366,181192.09,4768933786.70,8540.87
2222,WALLOWA,20223.01,Troy SD 54,07/01/2004,9,549793,182007.12,4198534676.94,7636.57
2052,JEFFERSON,6319.68,BLACK BUTTE SCH DIST 41,07/01/1999,29,543138,183270.68,3556941887.40,6548.87
2222,WALLOWA,92429.45,Troy SD 54,07/01/2007,2,561354,184858.90,5144636555.37,9164.69
2016,HARNEY,15406.76,Pine Creek SD 5,07/01/2005,12,555146,184881.06,4513950428.60,8131.11
2022,HARNEY,14466.44,South Harney SD 33,07/01/2003,13,549169,188063.68,3970643658.44,7230.28
2019,HARNEY,12556.47,Drewsey SD 13,07/01/2001,15,549757,188347.02,3966871635.47,7215.68
2051,JEFFERSON,38004.38,Ashwood SD 8,07/01/2004,5,549793,190021.90,4198534676.94,7636.57
1979,DESCHUTES,63387.33,BROTHERS SCH DIST 15,07/01/2003,3,549169,190162.00,3970643658.44,7230.28
2062,LAKE,31701.86,Plush SD 18,07/01/2009,6,556836,190211.16,5162739221.05,9271.56
1979,DESCHUTES,12085.88,BROTHERS SCH DIST 15,07/01/1999,16,543138,193374.00,3556941887.40,6548.87
2109,MALHEUR,24193.27,JUNTURA SCH DIST 12,07/01/2002,8,552161,193546.12,3889552066.13,7044.24
2222,WALLOWA,48540.60,Troy SD 54,07/01/2008,4,559271,194162.38,5248233458.10,9384.06
2222,WALLOWA,38954.15,Troy SD 54,07/01/2003,5,549169,194770.74,3970643658.44,7230.28
2063,LAKE,11469.44,Adel SD 21,07/01/2003,17,549169,194980.48,3970643658.44,7230.28
2019,HARNEY,16289.73,DREWSEY SCH DIST 013,07/01/2000,12,544245,195476.72,3796207419.43,6975.18
2062,LAKE,48923.82,Plush SD 18,07/01/2008,4,559271,195695.27,5248233458.10,9384.06
2109,MALHEUR,28098.86,JUNTURA SCH DIST 12,07/01/2001,7,549757,196692.00,3966871635.47,7215.68
2017,HARNEY,17932.16,Diamond SD 7,07/01/2005,11,555146,197253.80,4513950428.60,8131.11
2016,HARNEY,13152.47,Pine Creek SD 5,07/01/2001,15,549757,197287.00,3966871635.47,7215.68
2109,MALHEUR,13188.30,Juntura SD 12,07/01/2006,15,558366,197824.55,4768933786.70,8540.87
2018,HARNEY,17991.64,Suntex SD 10,07/01/2006,11,558366,197908.01,4768933786.70,8540.87
2051,JEFFERSON,66814.28,Ashwood SD 8,07/01/2006,3,558366,200442.85,4768933786.70,8540.87
1979,DESCHUTES,13388.27,BROTHERS SCH DIST 15,07/01/2001,15,549757,200824.00,3966871635.47,7215.68
2017,HARNEY,15547.06,Diamond SD 7,07/01/2006,13,558366,202111.72,4768933786.70,8540.87
1979,DESCHUTES,34010.33,BROTHERS SCH DIST 15,07/01/2002,6,552161,204062.00,3889552066.13,7044.24
2052,JEFFERSON,8563.15,BLACK BUTTE SCH DIST 41,07/01/2001,24,549757,205515.50,3966871635.47,7215.68
2115,MALHEUR,9836.19,Arock SD 81,07/01/1999,21,543138,206560.00,3556941887.40,6548.87
2019,HARNEY,17245.94,Drewsey SD 13,07/01/2002,12,552161,206951.27,3889552066.13,7044.24
2109,MALHEUR,15047.57,JUNTURA SCH DIST 12,07/01/2005,14,555146,210666.02,4513950428.60,8131.11
2115,MALHEUR,16329.46,Arock SD 81,07/01/2001,13,549757,212283.00,3966871635.47,7215.68
2018,HARNEY,14156.81,Suntex SD 10,07/01/2004,15,549793,212352.15,4198534676.94,7636.57
2018,HARNEY,13294.75,Suntex SD 10,07/01/2002,16,552161,212716.07,3889552066.13,7044.24
2016,HARNEY,16423.82,Pine Creek SD 5,07/01/2006,13,558366,213509.71,4768933786.70,8540.87
2018,HARNEY,16525.37,Suntex SD 10,07/01/2003,13,549169,214829.81,3970643658.44,7230.28
2052,JEFFERSON,9368.09,BLACK BUTTE SCH DIST 41,07/01/2003,23,549169,215466.00,3970643658.44,7230.28
2022,HARNEY,9368.71,South Harney SD 33,07/01/2000,23,544245,215480.33,3796207419.43,6975.18
2017,HARNEY,13618.14,Diamond SD 7,07/01/2007,16,561354,217890.27,5144636555.37,9164.69
2109,MALHEUR,18192.53,JUNTURA SCH DIST 12,07/01/2004,12,549793,218310.35,4198534676.94,7636.57
2019,HARNEY,18335.37,Drewsey SD 13,07/01/2003,12,549169,220024.45,3970643658.44,7230.28
2016,HARNEY,22141.68,Pine Creek SD 5,07/01/2007,10,561354,221416.84,5144636555.37,9164.69
2109,MALHEUR,27732.47,JUNTURA SCH DIST 12,07/01/2003,8,549169,221859.77,3970643658.44,7230.28
2016,HARNEY,17232.46,Pine Creek SD 5,07/01/2002,13,552161,224022.00,3889552066.13,7044.24
2109,MALHEUR,18753.33,Juntura SD 12,07/01/2008,12,559271,225040.00,5248233458.10,9384.06
2019,HARNEY,18846.50,Drewsey SD 13,07/01/2004,12,549793,226158.05,4198534676.94,7636.57
2017,HARNEY,17403.30,Diamond SD 7,07/01/2008,13,559271,226242.93,5248233458.10,9384.06
2019,HARNEY,15166.24,Drewsey SD 13,07/01/2005,15,555146,227493.65,4513950428.60,8131.11
2115,MALHEUR,17588.62,Arock SD 81,07/01/2002,13,552161,228652.00,3889552066.13,7044.24
2018,HARNEY,19181.92,Suntex SD 10,07/01/2005,12,555146,230183.08,4513950428.60,8131.11
2018,HARNEY,23073.31,Suntex SD 10,07/01/2008,10,559271,230733.06,5248233458.10,9384.06
2018,HARNEY,20977.54,Suntex SD 10,07/01/2007,11,561354,230752.94,5144636555.37,9164.69
2020,HARNEY,13603.71,Frenchglen SD 16,07/01/2000,17,544245,231263.04,3796207419.43,6975.18
2019,HARNEY,19412.57,Drewsey SD 13,07/01/2006,12,558366,232950.82,4768933786.70,8540.87
2063,LAKE,13843.23,Adel SD 21,07/01/2001,17,549757,235334.95,3966871635.47,7215.68
2017,HARNEY,14831.25,Diamond SD 7,07/01/2009,16,556836,237300.00,5162739221.05,9271.56
2063,LAKE,13367.10,ADEL SCH DIST 21,07/01/1999,18,543138,240607.82,3556941887.40,6548.87
2020,HARNEY,21897.55,Frenchglen SD 16,07/01/2008,11,559271,240873.05,5248233458.10,9384.06
2115,MALHEUR,14188.06,Arock SD 81,07/01/2003,17,549169,241197.00,3970643658.44,7230.28
2109,MALHEUR,18790.35,Juntura SD 12,07/01/2009,13,556836,244274.58,5162739221.05,9271.56
2016,HARNEY,16480.60,Pine Creek SD 5,07/01/2003,15,549169,247209.00,3970643658.44,7230.28
2016,HARNEY,14749.82,Pine Creek SD 5,07/01/2004,17,549793,250746.88,4198534676.94,7636.57
2020,HARNEY,16736.74,Frenchglen SD 16,07/01/2004,15,549793,251051.09,4198534676.94,7636.57
2020,HARNEY,15770.49,Frenchglen SD 16,07/01/2001,16,549757,252327.82,3966871635.47,7215.68
2019,HARNEY,15778.54,Drewsey SD 13,07/01/2008,16,559271,252456.57,5248233458.10,9384.06
2063,LAKE,31605.94,Adel SD 21,07/01/2009,8,556836,252847.53,5162739221.05,9271.56
2115,MALHEUR,12045.38,Arock SD 81,07/01/2000,21,544245,252953.00,3796207419.43,6975.18
2063,LAKE,15966.21,Adel SD 21,07/01/2002,16,552161,255459.30,3889552066.13,7044.24
2020,HARNEY,15999.07,Frenchglen SD 16,07/01/2003,16,549169,255985.18,3970643658.44,7230.28
2019,HARNEY,26032.28,Drewsey SD 13,07/01/2007,10,561354,260322.84,5144636555.37,9164.69
2020,HARNEY,21747.84,Frenchglen SD 16,07/01/2007,12,561354,260974.06,5144636555.37,9164.69
2020,HARNEY,29236.90,Frenchglen SD 16,07/01/2006,9,558366,263132.11,4768933786.70,8540.87
2022,HARNEY,11000.27,South Harney SD 33,07/01/2001,24,549757,264006.39,3966871635.47,7215.68
2063,LAKE,12064.69,Adel SD 21,07/01/2004,22,549793,265423.28,4198534676.94,7636.57
2020,HARNEY,22133.41,Frenchglen SD 16,07/01/2009,12,556836,265600.97,5162739221.05,9271.56
2063,LAKE,13392.82,ADEL SCH DIST 21,07/01/2000,20,544245,267856.39,3796207419.43,6975.18
2020,HARNEY,24424.39,Frenchglen SD 16,07/01/2005,11,555146,268668.32,4513950428.60,8131.11
2022,HARNEY,19280.54,South Harney SD 33,07/01/2004,14,549793,269927.62,4198534676.94,7636.57
2019,HARNEY,19301.03,Drewsey SD 13,07/01/2009,14,556836,270214.40,5162739221.05,9271.56
2022,HARNEY,14278.52,South Harney SD 33,07/01/2002,19,552161,271291.89,3889552066.13,7044.24
2063,LAKE,14403.55,Adel SD 21,07/01/2006,19,558366,273667.48,4768933786.70,8540.87
2020,HARNEY,17379.10,Frenchglen SD 16,07/01/2002,16,552161,278065.59,3889552066.13,7044.24
2109,MALHEUR,23341.76,Juntura SD 12,07/01/2007,12,561354,280101.16,5144636555.37,9164.69
2022,HARNEY,23417.56,South Harney SD 33,07/01/2007,12,561354,281010.77,5144636555.37,9164.69
2018,HARNEY,23446.18,Suntex SD 10,07/01/2009,12,556836,281354.16,5162739221.05,9271.56
2115,MALHEUR,11362.00,Arock SD 81,07/01/2007,25,561354,284050.00,5144636555.37,9164.69
2022,HARNEY,20358.61,South Harney SD 33,07/01/2006,14,558366,285020.57,4768933786.70,8540.87
2022,HARNEY,23872.59,South Harney SD 33,07/01/2009,12,556836,286471.09,5162739221.05,9271.56
2115,MALHEUR,13688.24,Arock SD 81,07/01/2006,21,558366,287453.00,4768933786.70,8540.87
2063,LAKE,13414.30,Adel SD 21,07/01/2005,22,555146,295114.68,4513950428.60,8131.11
1979,DESCHUTES,16460.50,BROTHERS SCH DIST 15,07/01/2000,18,544245,296289.00,3796207419.43,6975.18
2022,HARNEY,20078.54,South Harney SD 33,07/01/2008,15,559271,301178.16,5248233458.10,9384.06
2063,LAKE,20289.55,Adel SD 21,07/01/2007,15,561354,304343.21,5144636555.37,9164.69
2022,HARNEY,18188.87,South Harney SD 33,07/01/2005,17,555146,309210.72,4513950428.60,8131.11
2063,LAKE,34636.77,Adel SD 21,07/01/2008,9,559271,311730.91,5248233458.10,9384.06
2115,MALHEUR,22281.91,Arock SD 81,07/01/2009,14,556836,311946.76,5162739221.05,9271.56
2115,MALHEUR,26451.92,Arock SD 81,07/01/2004,12,549793,317423.00,4198534676.94,7636.57
2052,JEFFERSON,10653.13,BLACK BUTTE SCH DIST 41,07/01/2000,32,544245,340900.31,3796207419.43,6975.18
2115,MALHEUR,21652.15,Arock SD 81,07/01/2008,16,559271,346434.40,5248233458.10,9384.06
2047,JACKSON,12184.92,PINEHURST SCH DIST 94,07/01/2000,29,544245,353362.77,3796207419.43,6975.18
2115,MALHEUR,16569.95,Arock SD 81,07/01/2005,22,555146,364539.00,4513950428.60,8131.11
2047,JACKSON,12642.52,PINEHURST SCH DIST 94,07/01/2002,29,552161,366633.00,3889552066.13,7044.24
2052,JEFFERSON,21586.58,Black Butte SD 41,07/01/2006,17,558366,366971.80,4768933786.70,8540.87
2047,JACKSON,12467.37,PINEHURST SCH DIST 94,07/01/2001,30,549757,374021.00,3966871635.47,7215.68
2047,JACKSON,16505.70,Pinehurst SD 94,07/01/2005,23,555146,379631.00,4513950428.60,8131.11
2047,JACKSON,10382.43,PINEHURST SCH DIST 94,07/01/2003,37,549169,384150.00,3970643658.44,7230.28
2047,JACKSON,11776.64,PINEHURST SCH DIST 94,07/01/2004,33,549793,388629.00,4198534676.94,7636.57
2047,JACKSON,13620.59,PINEHURST SCH DIST 94,07/01/1999,29,543138,394997.00,3556941887.40,6548.87
2047,JACKSON,16329.62,Pinehurst SD 94,07/01/2006,26,558366,424570.00,4768933786.70,8540.87
2047,JACKSON,24241.28,Pinehurst SD 94,07/01/2008,18,559271,436343.00,5248233458.10,9384.06
2052,JEFFERSON,18960.17,Black Butte SD 41,07/01/2007,24,561354,455044.10,5144636555.37,9164.69
2047,JACKSON,16930.89,Pinehurst SD 94,07/01/2007,27,561354,457134.00,5144636555.37,9164.69
2047,JACKSON,19322.88,Pinehurst SD 94,07/01/2009,24,556836,463749.00,5162739221.05,9271.56
2052,JEFFERSON,22186.89,Black Butte SD 41,07/01/2009,23,556836,510298.48,5162739221.05,9271.56
2052,JEFFERSON,33105.00,Black Butte SD 41,07/01/2008,17,559271,562784.93,5248233458.10,9384.06
2111,MALHEUR,9209.76,ANNEX SCH DIST 29,07/01/1999,69,543138,635473.54,3556941887.40,6548.87
2111,MALHEUR,10825.78,Annex SD 29,07/01/2005,59,555146,638721.00,4513950428.60,8131.11
2203,UMATILLA,2780.47,ECHO SCH DIST 5,07/01/1999,232,543138,645069.45,3556941887.40,6548.87
2111,MALHEUR,7977.16,ANNEX SCH DIST 29,07/01/2000,83,544245,662104.20,3796207419.43,6975.18
2111,MALHEUR,10583.83,Annex SD 29,07/01/2009,63,556836,666781.59,5162739221.05,9271.56
2111,MALHEUR,9202.95,Annex SD 29,07/01/2007,74,561354,681018.00,5144636555.37,9164.69
2111,MALHEUR,9769.33,Annex SD 29,07/01/2003,70,549169,683853.00,3970643658.44,7230.28
2111,MALHEUR,9564.26,Annex SD 29,07/01/2008,73,559271,698191.00,5248233458.10,9384.06
2111,MALHEUR,7815.01,Annex SD 29,07/01/2001,90,549757,703350.89,3966871635.47,7215.68
2111,MALHEUR,10806.01,Annex SD 29,07/01/2004,67,549793,724003.00,4198534676.94,7636.57
2111,MALHEUR,8421.67,Annex SD 29,07/01/2002,86,552161,724264.00,3889552066.13,7044.24
2111,MALHEUR,14876.05,Annex SD 29,07/01/2006,49,558366,728926.34,4768933786.70,8540.87
2015,HARNEY,9279.13,CRANE SCH DIST 4,07/01/2003,80,549169,742330.12,3970643658.44,7230.28
2012,GRANT,32289.09,Long Creek SD 17,07/01/2006,24,558366,774938.05,4768933786.70,8540.87
2210,UMATILLA,12759.64,Ukiah SD 80R,07/01/2003,61,549169,778338.18,3970643658.44,7230.28
2210,UMATILLA,12590.38,UKIAH SCH DIST 80,07/01/1999,62,543138,780603.32,3556941887.40,6548.87
2015,HARNEY,9973.15,CRANE SCH DIST 4,07/01/1999,79,543138,787879.13,3556941887.40,6548.87
2010,GRANT,11041.15,MONUMENT SCH DIST 8,07/01/1999,72,543138,794963.00,3556941887.40,6548.87
2210,UMATILLA,19135.20,Ukiah SD 80R,07/01/2006,42,558366,803678.48,4768933786.70,8540.87
2015,HARNEY,9473.86,CRANE SCH DIST 4,07/01/2002,85,552161,805278.45,3889552066.13,7044.24
